GM - 利润表

Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
Operating Revenue,"43,598","44,735","44,061","39,212","39,260","40,498","41,254","36,646","39,834","38,703","32,614","32,824","30,353","23,426","30,744","29,067","34,093","32,067","13,363","29,150",Upgrade
Other Revenue,"4,104","4,021","3,909","3,802","3,719","3,633","3,492","3,339","3,274","3,185","3,145","3,155","3,231","3,353","3,423","3,407","3,425","3,413","3,415","3,559",Upgrade
Revenue,"47,702","48,756","47,970","43,014","42,979","44,131","44,746","39,985","43,108","41,888","35,759","35,979","33,584","26,779","34,167","32,474","37,518","35,480","16,778","32,709",Upgrade
Revenue Growth (YoY),10.99%,10.48%,7.21%,7.58%,-0.30%,5.36%,25.13%,11.13%,28.36%,56.42%,4.66%,10.79%,-10.49%,-24.52%,103.64%,-0.72%,21.71%,0.02%,-53.47%,-6.22%,Upgrade
Cost of Revenue,"39,447","39,007","38,615","33,996","36,609","35,842","36,632","32,247","35,378","33,700","29,261","29,353","27,491","20,672","27,266","25,115","30,117","27,169","13,444","26,326",Upgrade
Gross Profit,"4,540","6,406","6,259","5,944","3,336","5,389","5,383","5,167","5,228","5,912","4,459","4,754","4,042","3,846","5,057","5,134","5,014","6,098",138,"3,052",Upgrade
"Selling, General & Admin","3,347","2,575","2,382","2,126","2,532","2,235","2,558","2,461","3,281","2,101","1,917","2,128","2,069","1,664","1,640","1,320","2,088","1,230",974,"1,543",Upgrade
Operating Expenses,"3,347","2,575","2,382","2,126","2,532","2,235","2,558","2,461","3,281","2,101","1,917","2,128","2,069","1,664","1,640","1,320","2,088","1,230",974,"1,543",Upgrade
Operating Income,"1,193","3,831","3,877","3,818",804,"3,154","2,825","2,706","1,947","3,811","2,542","2,626","1,973","2,182","3,417","3,814","2,926","4,868",-836,"1,509",Upgrade
Interest Expense,-215,-206,-206,-219,-222,-229,-226,-234,-268,-259,-234,-226,-227,-230,-243,-250,-275,-327,-303,-193,Upgrade
Interest & Investment Income,279,274,228,186,308,322,251,229,215,122,73,50,44,38,32,32,46,51,61,83,Upgrade
Earnings From Equity Investments,"-4,053",-132,-97,-137,96,194,71,-20,197,323,-95,238,242,270,277,311,251,263,170,-157,Upgrade
Currency Exchange Gain (Loss),321,-,-,-,-349,-,-,-,-172,-,-,-,17,-,-,-,-203,-,-,-,Upgrade
Other Non Operating Income (Expenses),-56,50,-59,67,575,23,108,93,761,100,46,92,-366,278,113,74,89,50,-98,307,Upgrade
EBT Excluding Unusual Items,"-2,531","3,817","3,743","3,715","1,212","3,464","3,029","2,774","2,680","4,097","2,332","2,780","1,683","2,538","3,596","3,981","2,834","4,905","-1,006","1,549",Upgrade
Merger & Restructuring Charges,-,-100,100,-,-,-,-,-,-657,-,-,-,-,-,-,-,-26,-76,-,-489,Upgrade
Gain (Loss) on Sale of Investments,-25,-,-200,-,-77,-,-,-,-536,-,-200,-,554,-,154,210,631,76,114,-417,Upgrade
Other Unusual Items,-,-,-,-,-,-,-,-,"1,100",-,-,-,-,-,-,-,-,-,-,-,Upgrade
Pretax Income,"-2,556","3,717","3,643","3,715","1,135","3,464","3,029","2,774","2,587","4,097","2,132","2,780","2,237","2,538","3,750","4,191","3,439","4,905",-892,643,Upgrade
Income Tax Expense,318,709,767,762,-858,470,522,428,580,845,490,-28,471,152,971,"1,177",642,887,-112,357,Upgrade
Earnings From Continuing Operations,"-2,874","3,008","2,876","2,953","1,993","2,994","2,507","2,346","2,007","3,252","1,642","2,808","1,766","2,386","2,779","3,014","2,797","4,018",-780,286,Upgrade
Net Income to Company,"-2,874","3,008","2,876","2,953","1,993","2,994","2,507","2,346","2,007","3,252","1,642","2,808","1,766","2,386","2,779","3,014","2,797","4,018",-780,286,Upgrade
Minority Interest in Earnings,-87,48,57,27,108,70,59,49,-8,53,50,131,-25,34,57,8,49,27,22,8,Upgrade
Net Income,"-2,961","3,056","2,933","2,980","2,101","3,064","2,566","2,395","1,999","3,305","1,692","2,939","1,741","2,420","2,836","3,022","2,846","4,045",-758,294,Upgrade
Preferred Dividends & Other Adjustments,"-1,236",27,18,10,26,26,26,26,15,27,26,952,45,45,46,46,45,40,48,47,Upgrade
Net Income to Common,"-1,725","3,029","2,915","2,970","2,075","3,038","2,540","2,369","1,984","3,278","1,666","1,987","1,696","2,375","2,790","2,976","2,801","4,005",-806,247,Upgrade
Net Income Growth,-,-0.26%,14.30%,24.43%,5.10%,-7.29%,51.65%,-18.51%,14.82%,36.57%,-40.34%,-2.75%,-38.83%,-40.17%,-,927.89%,-,72.05%,-,-86.37%,Upgrade
Shares Outstanding (Basic),"1,052","1,116","1,136","1,155","1,304","1,372","1,385","1,396","1,415","1,448","1,458","1,458","1,454","1,452","1,451","1,447","1,436","1,432","1,432","1,433",Upgrade
Shares Outstanding (Diluted),"1,052","1,131","1,147","1,162","1,306","1,378","1,389","1,402","1,424","1,457","1,465","1,470","1,471","1,467","1,468","1,464","1,451","1,439","1,432","1,440",Upgrade
Shares Change (YoY),-19.45%,-17.93%,-17.42%,-17.12%,-8.29%,-5.42%,-5.19%,-4.63%,-3.19%,-0.68%,-0.20%,0.41%,1.38%,1.95%,2.51%,1.67%,1.47%,-0.21%,-0.42%,0.28%,Upgrade
EPS (Basic),-1.64,2.71,2.57,2.57,1.59,2.21,1.83,1.70,1.40,2.26,1.14,1.36,1.17,1.64,1.92,2.06,1.95,2.80,-0.56,0.17,Upgrade
EPS (Diluted),-1.64,2.68,2.53,2.56,1.59,2.20,1.83,1.69,1.40,2.25,1.14,1.35,1.15,1.62,1.90,2.03,1.92,2.78,-0.56,0.17,Upgrade
EPS Growth,-,21.82%,38.46%,51.48%,13.53%,-2.22%,60.53%,25.19%,21.27%,38.89%,-40.00%,-33.50%,-40.12%,-41.73%,-,1094.12%,-,73.75%,-,-88.51%,Upgrade
Free Cash Flow,907,"4,616","3,407",369,-49,"4,015","5,339",655,"2,319","3,087",956,443,"3,610","-1,908","5,589",388,"4,721","10,239","-3,927",337,Upgrade
Free Cash Flow Per Share,0.86,4.08,2.97,0.32,-0.04,2.91,3.84,0.47,1.63,2.12,0.65,0.30,2.45,-1.30,3.81,0.27,3.25,7.12,-2.74,0.23,Upgrade
Dividend Per Share,0.120,0.120,0.120,0.120,0.090,0.090,0.090,0.090,0.090,0.090,-,-,-,-,-,-,-,-,-,0.380,Upgrade
Dividend Growth,33.33%,33.33%,33.33%,33.33%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
Gross Margin,9.52%,13.14%,13.05%,13.82%,7.76%,12.21%,12.03%,12.92%,12.13%,14.11%,12.47%,13.21%,12.04%,14.36%,14.80%,15.81%,13.36%,17.19%,0.82%,9.33%,Upgrade
Operating Margin,2.50%,7.86%,8.08%,8.88%,1.87%,7.15%,6.31%,6.77%,4.52%,9.10%,7.11%,7.30%,5.88%,8.15%,10.00%,11.74%,7.80%,13.72%,-4.98%,4.61%,Upgrade
Profit Margin,-3.62%,6.21%,6.08%,6.91%,4.83%,6.88%,5.68%,5.92%,4.60%,7.83%,4.66%,5.52%,5.05%,8.87%,8.17%,9.16%,7.47%,11.29%,-4.80%,0.76%,Upgrade
Free Cash Flow Margin,1.90%,9.47%,7.10%,0.86%,-0.11%,9.10%,11.93%,1.64%,5.38%,7.37%,2.67%,1.23%,10.75%,-7.12%,16.36%,1.20%,12.58%,28.86%,-23.41%,1.03%,Upgrade
EBITDA,"2,245","5,495","5,576","5,373","1,927","4,925","4,524","4,277","2,891","5,383","4,183","4,294","3,080","3,724","4,866","5,176","3,924","6,260",476,"2,901",Upgrade
EBITDA Margin,4.71%,11.27%,11.62%,12.49%,4.48%,11.16%,10.11%,10.70%,6.71%,12.85%,11.70%,11.94%,9.17%,13.91%,14.24%,15.94%,10.46%,17.64%,2.84%,8.87%,Upgrade
D&A For EBITDA,"1,052","1,664","1,699","1,555","1,123","1,771","1,699","1,571",944,"1,572","1,641","1,668","1,107","1,542","1,449","1,362",998,"1,392","1,312","1,392",Upgrade
EBIT,"1,193","3,831","3,877","3,818",804,"3,154","2,825","2,706","1,947","3,811","2,542","2,626","1,973","2,182","3,417","3,814","2,926","4,868",-836,"1,509",Upgrade
